,HAPPY,LIFE,AGE,CONINC,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,SOCREL,HAPPARTNER,FAIR_C,TRUST_C,HELPFUl_C,CONINC_CAT,PARTYID_CAT
1198,2.0,2.0,44.0,168736.0,3.0,,,,,2.0,3.0,2.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1200,3.0,2.0,22.0,,1.0,,,,,,3.0,3.0,1.0,,NOT VERY STRONG DEMOCRAT
1210,2.0,2.0,79.0,6048.0,3.0,,,,,,2.0,2.0,2.0,"$6,000-6,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1215,1.0,,54.0,25200.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,"$25,000-29,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1224,2.0,1.0,63.0,21840.0,2.0,,,,,,2.0,1.0,1.0,"$20,000-24,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1226,2.0,,58.0,168736.0,0.0,7.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
1227,3.0,2.0,28.0,45360.0,1.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
1228,2.0,1.0,37.0,67200.0,0.0,,,,,2.0,2.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
1229,2.0,1.0,75.0,18480.0,3.0,,,,,,2.0,1.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1230,1.0,,49.0,168736.0,0.0,3.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
1233,2.0,,40.0,168736.0,1.0,7.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1234,1.0,,33.0,,0.0,5.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,,STRONG DEMOCRAT
1246,3.0,2.0,64.0,14280.0,2.0,,,,,,2.0,2.0,1.0,"$12,000-14,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1247,3.0,,71.0,45360.0,6.0,7.0,7.0,7.0,5.0,3.0,3.0,2.0,1.0,"$40,000-49,999",STRONG REPUBLICAN
1252,2.0,,43.0,67200.0,4.0,5.0,3.0,2.0,3.0,,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1254,2.0,2.0,35.0,25200.0,2.0,,,,,1.0,2.0,2.0,1.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1255,2.0,1.0,38.0,30240.0,3.0,,,,,1.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1257,1.0,2.0,45.0,80640.0,5.0,,,,,1.0,1.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
1259,2.0,2.0,24.0,,3.0,,,,,1.0,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1263,2.0,,33.0,67200.0,1.0,7.0,2.0,6.0,5.0,1.0,2.0,1.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1264,3.0,,21.0,9240.0,2.0,7.0,2.0,4.0,6.0,,1.0,2.0,2.0,"$9,000-9,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1271,2.0,,33.0,36960.0,2.0,2.0,3.0,3.0,2.0,,3.0,1.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1273,2.0,,,168736.0,2.0,5.0,4.0,6.0,5.0,2.0,1.0,2.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1277,3.0,2.0,32.0,45360.0,2.0,,,,,,1.0,2.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1278,2.0,,53.0,55440.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,3.0,3.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1279,1.0,,51.0,80640.0,6.0,7.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,"$75,000-99,999",STRONG REPUBLICAN
1291,2.0,2.0,73.0,36960.0,5.0,,,,,2.0,1.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
1294,2.0,1.0,63.0,,0.0,,,,,,1.0,2.0,1.0,,STRONG DEMOCRAT
1297,2.0,,65.0,4368.0,2.0,5.0,3.0,6.0,3.0,,3.0,3.0,3.0,"$4,000-4,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1300,3.0,,56.0,10920.0,0.0,7.0,5.0,7.0,7.0,,3.0,2.0,3.0,"$10,000-10,999",STRONG DEMOCRAT
1304,3.0,,36.0,67200.0,0.0,7.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
1308,1.0,,,55440.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1309,3.0,,72.0,12600.0,1.0,4.0,6.0,7.0,6.0,,1.0,2.0,1.0,"$12,000-14,999",NOT VERY STRONG DEMOCRAT
1311,2.0,,33.0,55440.0,0.0,7.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
1312,2.0,2.0,33.0,45360.0,2.0,,,,,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1314,2.0,2.0,74.0,30240.0,0.0,,,,,,3.0,1.0,3.0,"$30,000-39,999",STRONG DEMOCRAT
1317,3.0,,42.0,55440.0,3.0,7.0,4.0,4.0,4.0,,2.0,1.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1320,1.0,,41.0,67200.0,3.0,5.0,5.0,6.0,4.0,1.0,2.0,3.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1321,2.0,,57.0,94080.0,4.0,6.0,2.0,4.0,4.0,,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1326,2.0,2.0,45.0,168736.0,3.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1328,2.0,2.0,46.0,168736.0,,,,,,1.0,3.0,3.0,3.0,"$100,000-999,999",
1330,3.0,2.0,22.0,168736.0,4.0,,,,,,2.0,3.0,3.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1331,2.0,,42.0,30240.0,5.0,6.0,2.0,6.0,2.0,,3.0,3.0,3.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
1332,2.0,,23.0,,5.0,7.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,,NOT VERY STRONG REPUBLICAN
1336,2.0,,36.0,,1.0,7.0,4.0,7.0,5.0,,1.0,2.0,1.0,,NOT VERY STRONG DEMOCRAT
1339,2.0,,78.0,30240.0,5.0,2.0,2.0,2.0,3.0,,2.0,1.0,1.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
1342,2.0,1.0,58.0,168736.0,4.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1346,2.0,,76.0,36960.0,6.0,4.0,6.0,3.0,4.0,1.0,3.0,3.0,3.0,"$30,000-39,999",STRONG REPUBLICAN
1348,2.0,2.0,51.0,94080.0,1.0,,,,,2.0,2.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
1351,3.0,1.0,,45360.0,5.0,,,,,,2.0,1.0,1.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
1359,2.0,2.0,44.0,55440.0,3.0,,,,,2.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1360,2.0,,20.0,,3.0,2.0,2.0,7.0,1.0,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1363,2.0,,57.0,67200.0,3.0,5.0,5.0,7.0,2.0,1.0,3.0,3.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1364,2.0,,37.0,6048.0,3.0,5.0,5.0,6.0,3.0,,1.0,2.0,2.0,"$6,000-6,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1367,1.0,,47.0,18480.0,0.0,3.0,2.0,4.0,6.0,2.0,3.0,2.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
1369,1.0,1.0,57.0,168736.0,1.0,,,,,1.0,2.0,1.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1371,1.0,1.0,23.0,30240.0,3.0,,,,,1.0,3.0,3.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1374,2.0,,45.0,45360.0,5.0,6.0,6.0,7.0,4.0,,3.0,3.0,1.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
1376,2.0,2.0,35.0,67200.0,2.0,,,,,2.0,3.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1382,3.0,,51.0,10920.0,3.0,5.0,7.0,7.0,7.0,,1.0,2.0,3.0,"$10,000-10,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1385,3.0,2.0,60.0,45360.0,1.0,,,,,1.0,1.0,1.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
1387,2.0,,44.0,67200.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1391,3.0,2.0,32.0,55440.0,1.0,,,,,2.0,1.0,2.0,2.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1392,3.0,2.0,24.0,,,,,,,,1.0,2.0,2.0,,
1394,2.0,,44.0,36960.0,3.0,7.0,4.0,3.0,5.0,,3.0,2.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1395,3.0,3.0,27.0,21840.0,2.0,,,,,,1.0,2.0,1.0,"$20,000-24,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1396,2.0,2.0,45.0,107520.0,1.0,,,,,1.0,1.0,2.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1397,1.0,,73.0,94080.0,3.0,5.0,5.0,7.0,5.0,1.0,3.0,3.0,3.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1398,1.0,,67.0,94080.0,0.0,6.0,3.0,4.0,7.0,,2.0,3.0,3.0,"$75,000-99,999",STRONG DEMOCRAT
1399,2.0,,,107520.0,4.0,4.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1400,2.0,2.0,79.0,,2.0,,,,,1.0,1.0,2.0,2.0,,"INDEPENDENT, CLOSE TO DEMOCRAT"
1402,1.0,2.0,35.0,168736.0,1.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1404,1.0,1.0,32.0,168736.0,3.0,,,,,1.0,2.0,3.0,3.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1405,2.0,2.0,32.0,30240.0,3.0,,,,,2.0,1.0,3.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1415,1.0,,66.0,67200.0,3.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1421,1.0,1.0,61.0,,6.0,,,,,1.0,3.0,2.0,3.0,,STRONG REPUBLICAN
1424,2.0,,53.0,36960.0,7.0,7.0,6.0,7.0,6.0,1.0,3.0,2.0,3.0,"$30,000-39,999",OTHER PARTY 
1427,2.0,,62.0,55440.0,3.0,4.0,3.0,5.0,2.0,,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1431,2.0,2.0,46.0,94080.0,5.0,,,,,2.0,3.0,2.0,2.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
1432,1.0,2.0,36.0,55440.0,1.0,,,,,1.0,1.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1433,3.0,1.0,30.0,21840.0,7.0,,,,,,1.0,2.0,2.0,"$20,000-24,999",OTHER PARTY 
1435,1.0,1.0,63.0,80640.0,0.0,,,,,1.0,2.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
1444,2.0,,29.0,,3.0,7.0,6.0,7.0,6.0,2.0,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1446,3.0,2.0,60.0,21840.0,0.0,,,,,,1.0,2.0,1.0,"$20,000-24,999",STRONG DEMOCRAT
1448,3.0,,22.0,36960.0,2.0,3.0,3.0,4.0,1.0,,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1449,2.0,,38.0,30240.0,3.0,7.0,4.0,3.0,4.0,,3.0,2.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1457,3.0,2.0,43.0,5040.0,1.0,,,,,,1.0,2.0,2.0,"$5,000-5,999",NOT VERY STRONG DEMOCRAT
1460,3.0,2.0,55.0,9240.0,0.0,,,,,2.0,1.0,1.0,1.0,"$9,000-9,999",STRONG DEMOCRAT
1462,3.0,3.0,33.0,18480.0,0.0,,,,,,1.0,2.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
1464,2.0,2.0,37.0,36960.0,5.0,,,,,1.0,1.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
1467,2.0,1.0,68.0,168736.0,0.0,,,,,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
1470,2.0,2.0,60.0,67200.0,5.0,,,,,2.0,3.0,3.0,3.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1473,3.0,,77.0,,6.0,7.0,7.0,6.0,5.0,3.0,1.0,2.0,1.0,,STRONG REPUBLICAN
1480,2.0,,33.0,67200.0,5.0,6.0,4.0,5.0,4.0,1.0,3.0,3.0,3.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1481,2.0,1.0,23.0,,5.0,,,,,,1.0,2.0,2.0,,NOT VERY STRONG REPUBLICAN
1482,2.0,2.0,,45360.0,3.0,,,,,2.0,1.0,2.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1486,1.0,,56.0,,6.0,4.0,3.0,6.0,3.0,1.0,2.0,2.0,1.0,,STRONG REPUBLICAN
1488,2.0,2.0,26.0,168736.0,4.0,,,,,1.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1490,1.0,2.0,34.0,7560.0,3.0,,,,,1.0,1.0,2.0,2.0,"$7,000-7,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1492,1.0,2.0,57.0,67200.0,0.0,,,,,1.0,3.0,3.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
1493,2.0,1.0,63.0,55440.0,0.0,,,,,1.0,2.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
1498,2.0,,79.0,55440.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,"$50,000-74,999",STRONG REPUBLICAN
1501,1.0,,44.0,25200.0,5.0,7.0,4.0,7.0,2.0,1.0,1.0,2.0,2.0,"$25,000-29,999",NOT VERY STRONG REPUBLICAN
1502,2.0,,,,3.0,3.0,3.0,7.0,1.0,,2.0,2.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1503,3.0,3.0,54.0,94080.0,5.0,,,,,2.0,1.0,3.0,3.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
1504,1.0,,45.0,168736.0,0.0,3.0,5.0,6.0,5.0,1.0,1.0,2.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
1507,2.0,,,,0.0,7.0,3.0,4.0,3.0,,2.0,2.0,1.0,,STRONG DEMOCRAT
1508,1.0,,40.0,107520.0,7.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,"$100,000-999,999",OTHER PARTY 
1518,2.0,,27.0,,2.0,7.0,3.0,5.0,1.0,,1.0,2.0,2.0,,"INDEPENDENT, CLOSE TO DEMOCRAT"
1520,1.0,2.0,66.0,45360.0,3.0,,,,,1.0,1.0,2.0,1.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1521,1.0,,72.0,25200.0,6.0,7.0,,3.0,3.0,1.0,1.0,2.0,1.0,"$25,000-29,999",STRONG REPUBLICAN
1524,2.0,,39.0,67200.0,1.0,7.0,5.0,6.0,4.0,2.0,1.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1526,2.0,2.0,39.0,,3.0,,,,,2.0,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1547,3.0,1.0,28.0,45360.0,2.0,,,,,,2.0,2.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1551,2.0,2.0,53.0,107520.0,1.0,,,,,,2.0,3.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1556,2.0,,50.0,45360.0,0.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
1557,2.0,2.0,21.0,168736.0,2.0,,,,,,1.0,3.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1558,2.0,,38.0,21840.0,6.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,"$20,000-24,999",STRONG REPUBLICAN
1559,3.0,,73.0,168736.0,1.0,6.0,6.0,7.0,1.0,,2.0,3.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1560,1.0,,56.0,67200.0,5.0,5.0,4.0,7.0,2.0,,1.0,2.0,3.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1563,1.0,,49.0,168736.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
1568,2.0,1.0,37.0,168736.0,0.0,,,,,2.0,3.0,3.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
1569,2.0,,73.0,18480.0,0.0,5.0,6.0,5.0,5.0,,2.0,2.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
1571,1.0,2.0,31.0,67200.0,4.0,,,,,1.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1574,2.0,,42.0,67200.0,5.0,6.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1575,3.0,,54.0,168736.0,6.0,4.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,"$100,000-999,999",STRONG REPUBLICAN
1578,1.0,1.0,34.0,30240.0,1.0,,,,,1.0,3.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
1579,2.0,2.0,18.0,168736.0,3.0,,,,,,1.0,1.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1580,2.0,,26.0,30240.0,2.0,7.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1586,2.0,2.0,69.0,45360.0,3.0,,,,,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1590,2.0,,62.0,55440.0,2.0,4.0,4.0,6.0,4.0,,2.0,1.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1591,2.0,1.0,21.0,3024.0,0.0,,,,,,1.0,2.0,1.0,"$3,000-3,999",STRONG DEMOCRAT
1594,3.0,,26.0,45360.0,2.0,7.0,2.0,3.0,3.0,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1597,2.0,2.0,35.0,67200.0,0.0,,,,,,3.0,3.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
1598,1.0,,,168736.0,6.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
1602,2.0,1.0,23.0,55440.0,3.0,,,,,1.0,2.0,3.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1604,2.0,,28.0,,3.0,5.0,6.0,6.0,4.0,1.0,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1607,2.0,,57.0,36960.0,1.0,4.0,5.0,5.0,3.0,,2.0,2.0,1.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
1613,2.0,1.0,51.0,55440.0,5.0,,,,,,1.0,2.0,2.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1624,2.0,2.0,30.0,94080.0,6.0,,,,,2.0,1.0,2.0,1.0,"$75,000-99,999",STRONG REPUBLICAN
1625,2.0,2.0,45.0,80640.0,3.0,,,,,2.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1628,3.0,,67.0,67200.0,6.0,4.0,5.0,7.0,4.0,2.0,1.0,2.0,2.0,"$50,000-74,999",STRONG REPUBLICAN
1629,2.0,2.0,42.0,67200.0,6.0,,,,,1.0,2.0,2.0,2.0,"$50,000-74,999",STRONG REPUBLICAN
1632,2.0,2.0,63.0,55440.0,1.0,,,,,2.0,1.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1640,2.0,,30.0,36960.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
1641,2.0,,46.0,168736.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
1642,2.0,2.0,45.0,67200.0,5.0,,,,,1.0,1.0,2.0,2.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
1644,2.0,,,,3.0,2.0,2.0,7.0,2.0,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1646,3.0,3.0,22.0,67200.0,3.0,,,,,,1.0,1.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1650,1.0,1.0,51.0,67200.0,3.0,,,,,1.0,2.0,2.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1656,2.0,,40.0,55440.0,2.0,7.0,5.0,6.0,4.0,,2.0,1.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1658,1.0,,56.0,168736.0,6.0,6.0,6.0,7.0,3.0,1.0,2.0,3.0,1.0,"$100,000-999,999",STRONG REPUBLICAN
1659,2.0,,54.0,80640.0,0.0,6.0,5.0,6.0,1.0,1.0,2.0,2.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
1665,2.0,1.0,59.0,55440.0,3.0,,,,,,3.0,3.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1668,3.0,2.0,77.0,67200.0,6.0,,,,,1.0,3.0,2.0,3.0,"$50,000-74,999",STRONG REPUBLICAN
1671,3.0,3.0,63.0,25200.0,2.0,,,,,,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1675,2.0,,22.0,21840.0,0.0,7.0,3.0,6.0,3.0,,1.0,1.0,1.0,"$20,000-24,999",STRONG DEMOCRAT
1676,2.0,2.0,60.0,,3.0,,,,,,1.0,1.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1678,2.0,,32.0,21840.0,5.0,7.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,"$20,000-24,999",NOT VERY STRONG REPUBLICAN
1679,3.0,,57.0,10920.0,4.0,7.0,4.0,7.0,3.0,,1.0,2.0,2.0,"$10,000-10,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1681,1.0,,28.0,18480.0,5.0,7.0,2.0,7.0,4.0,,1.0,2.0,2.0,"$15,000-19,999",NOT VERY STRONG REPUBLICAN
1683,1.0,2.0,48.0,9240.0,4.0,,,,,2.0,3.0,2.0,3.0,"$9,000-9,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1685,2.0,2.0,36.0,25200.0,6.0,,,,,1.0,1.0,2.0,3.0,"$25,000-29,999",STRONG REPUBLICAN
1686,1.0,,77.0,25200.0,4.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1694,3.0,2.0,74.0,36960.0,6.0,,,,,,2.0,1.0,1.0,"$30,000-39,999",STRONG REPUBLICAN
1695,3.0,2.0,65.0,15960.0,3.0,,,,,,1.0,2.0,1.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1696,1.0,,60.0,55440.0,3.0,7.0,5.0,7.0,5.0,,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1701,3.0,2.0,42.0,45360.0,0.0,,,,,,3.0,3.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
1705,2.0,,24.0,45360.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1706,3.0,2.0,39.0,1344.0,1.0,,,,,,3.0,2.0,3.0,"$1,000-1,999 ",NOT VERY STRONG DEMOCRAT
1711,2.0,,29.0,55440.0,1.0,5.0,4.0,6.0,2.0,2.0,1.0,2.0,2.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
1713,2.0,,59.0,94080.0,4.0,5.0,2.0,7.0,2.0,2.0,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1715,3.0,3.0,30.0,6048.0,1.0,,,,,,1.0,2.0,2.0,"$6,000-6,999",NOT VERY STRONG DEMOCRAT
1717,3.0,2.0,65.0,14280.0,6.0,,,,,1.0,2.0,1.0,1.0,"$12,000-14,999",STRONG REPUBLICAN
1718,2.0,,42.0,168736.0,1.0,6.0,4.0,5.0,4.0,1.0,3.0,3.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1719,2.0,,48.0,45360.0,3.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1722,2.0,2.0,55.0,9240.0,2.0,,,,,,1.0,1.0,1.0,"$9,000-9,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1730,2.0,,64.0,67200.0,6.0,7.0,4.0,7.0,4.0,2.0,2.0,2.0,1.0,"$50,000-74,999",STRONG REPUBLICAN
1732,1.0,1.0,34.0,14280.0,1.0,,,,,1.0,2.0,2.0,2.0,"$12,000-14,999",NOT VERY STRONG DEMOCRAT
1733,1.0,,51.0,67200.0,3.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1737,1.0,1.0,44.0,55440.0,6.0,,,,,1.0,3.0,3.0,2.0,"$50,000-74,999",STRONG REPUBLICAN
1740,1.0,1.0,55.0,,6.0,,,,,1.0,2.0,1.0,2.0,,STRONG REPUBLICAN
1741,2.0,,43.0,94080.0,6.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,"$75,000-99,999",STRONG REPUBLICAN
