,HAPPY,LIFE,AGE,CONINC,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,SOCREL,HAPPARTNER,FAIR_C,TRUST_C,HELPFUl_C,CONINC_CAT,PARTYID_CAT
393,3.0,,39.0,168736.0,3.0,6.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
395,3.0,,22.0,336.0,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
397,2.0,,22.0,14280.0,1.0,6.0,6.0,6.0,5.0,,2.0,2.0,3.0,"$12,000-14,999",NOT VERY STRONG DEMOCRAT
399,2.0,1.0,51.0,,0.0,,,,,,1.0,1.0,1.0,,STRONG DEMOCRAT
400,3.0,,30.0,80640.0,3.0,7.0,3.0,7.0,3.0,,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
402,2.0,,57.0,,5.0,7.0,4.0,4.0,4.0,,3.0,1.0,1.0,,NOT VERY STRONG REPUBLICAN
403,1.0,2.0,48.0,94080.0,6.0,,,,,1.0,3.0,3.0,1.0,"$75,000-99,999",STRONG REPUBLICAN
406,2.0,,57.0,67200.0,6.0,2.0,4.0,7.0,5.0,,2.0,1.0,2.0,"$50,000-74,999",STRONG REPUBLICAN
409,3.0,,60.0,,0.0,7.0,7.0,7.0,7.0,,1.0,2.0,2.0,,STRONG DEMOCRAT
413,2.0,,31.0,168736.0,0.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
414,2.0,2.0,77.0,168736.0,0.0,,,,,,2.0,3.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
416,2.0,,20.0,,5.0,6.0,3.0,7.0,3.0,,1.0,1.0,2.0,,NOT VERY STRONG REPUBLICAN
417,2.0,2.0,23.0,9240.0,2.0,,,,,2.0,1.0,2.0,1.0,"$9,000-9,999","INDEPENDENT, CLOSE TO DEMOCRAT"
419,2.0,1.0,63.0,45360.0,1.0,,,,,,3.0,3.0,1.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
420,2.0,,46.0,168736.0,6.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,"$100,000-999,999",STRONG REPUBLICAN
425,3.0,,62.0,36960.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,1.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
427,2.0,,39.0,168736.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
431,2.0,1.0,75.0,168736.0,1.0,,,,,2.0,3.0,1.0,3.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
432,2.0,2.0,29.0,7560.0,3.0,,,,,,3.0,2.0,3.0,"$7,000-7,999","INDEPENDENT (NEITHER, NO RESPONSE)"
434,3.0,1.0,55.0,45360.0,4.0,,,,,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT, CLOSE TO REPUBLICAN"
435,2.0,,79.0,36960.0,6.0,6.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
438,1.0,,32.0,94080.0,1.0,5.0,4.0,7.0,2.0,1.0,3.0,2.0,3.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
439,2.0,,21.0,,6.0,4.0,3.0,4.0,2.0,,1.0,3.0,2.0,,STRONG REPUBLICAN
443,2.0,2.0,31.0,36960.0,2.0,,,,,,1.0,2.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
444,2.0,2.0,33.0,,3.0,,,,,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
445,1.0,1.0,71.0,30240.0,2.0,,,,,,2.0,3.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
